"NAME OF CONTRIBUTOR"	"CITY"	"STATE/ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION TYPE"	"TYPE"	"TRANS. DATE"	"FILED DATE"	"TRANS #"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $930.65"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/22/2018"	"07/16/2018"	"2264932-S496-2402"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $75.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/21/2018"	"07/16/2018"	"2264932-S496-2396"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $75.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/15/2018"	"07/16/2018"	"2264932-S496-2341"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $801.66"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/12/2018"	"07/16/2018"	"2264932-S496-2340"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $236.96"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/08/2018"	"07/16/2018"	"2264932-S496-2337"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,971.14"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/06/2018"	"07/16/2018"	"2264932-S496-2302"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $990.66"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/04/2018"	"07/05/2018"	"2260925-S496-2334"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $98.99"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"05/29/2018"	"07/05/2018"	"2260925-S496-2332"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $100.98"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"05/29/2018"	"07/05/2018"	"2260925-S496-2331"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,500.00"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"05/15/2018"	"07/05/2018"	"2260925-S496-2304"
