"NAME OF CONTRIBUTOR"	"CITY"	"STATE/ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION TYPE"	"TYPE"	"TRANS. DATE"	"FILED DATE"	"TRANS #"
"YES ON 8 - CALIFORNIANS FOR KIDNEY DIALYSIS PATIENT PROTECTION, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1398274"	""	""	"      $11,387,341.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"08/21/2018"	"08/22/2018"	"2285562-VQZMRAFZFJ3"
"CALIFORNIANS CARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION ? UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1402296"	""	""	"         $267,351.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"05/29/2018"	"06/01/2018"	"2258835-VQZMRAF6819"
"CALIFORNIANS CARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION ? UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1402296"	""	""	"          $30,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"05/21/2018"	"06/01/2018"	"2258834-VQZMRAF6801"
"CALIFORNIANS CARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION ? UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1402296"	""	""	"         $155,552.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"05/17/2018"	"06/01/2018"	"2258833-VQZMRAF50M3"
"CALIFORNIANS CARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1402296"	""	""	"         $500,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"02/26/2018"	"02/27/2018"	"2218926-VQZMRADV5D9"
"CALIFORNIANS CARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1402296"	""	""	"       $1,000,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"02/08/2018"	"02/21/2018"	"2217853-VQZMRADV5D9"
"CALIFORNIANS FOR KIDNEY DIALYSIS PATIENT PROTECTION, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1398274"	""	""	"       $4,000,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"01/26/2018"	"02/09/2018"	"2214249-VQZMRAEFW35"
"CALIFORNIANS FOR KIDNEY DIALYSIS PATIENT PROTECTION, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1398274"	""	""	"         $500,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"01/17/2018"	"01/31/2018"	"2212324-VQZMRADV5D9"
"CALIFORNIANS FOR KIDNEY DIALYSIS PATIENT PROTECTION, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1398274"	""	""	"         $500,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"12/07/2017"	"12/18/2017"	"2198609-VQZMRADV5D9"
"CALIFORNIANS FOR KIDNEY DIALYSIS PATIENT PROTECTION, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"LOS ANGELES"	"CA / 90017-5864"	"1398274"	""	""	"       $1,000,000.00"	"LATE CONTRIBUTION MADE"	"INITIAL"	"10/18/2017"	"10/31/2017"	"2194321-VQZMRADV5D9"


