"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
""	"WATERFRONT STRATEGIES"	"T.V. OR CABLE AIRTIME AND PRODUCTION COSTS"	""	"$3,500,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$300,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$300,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$300,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$300,000.00"
""	"OHIOANS FOR KIDNEY DIALYSIS PATIENT PROTECTION"	""	"OUT OF STATE CONTRIBUTION"	"$300,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$150,000.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$150,000.00"
""	"SCN STRATEGIES, INC."	"T.V. OR CABLE AIRTIME AND PRODUCTION COSTS"	""	"$140,077.00"
""	"KIMBALL PETITION MANAGEMENT"	"PETITION CIRCULATING"	""	"$85,599.00"
""	"THE BENENSON STRATEGY GROUP"	"POLLING AND SURVEY RESEARCH"	""	"$68,200.00"
""	"PACIFIC PRINTING"	"PETITION CIRCULATING"	""	"$45,171.25"
""	"THE BENENSON STRATEGY GROUP"	"POLLING AND SURVEY RESEARCH"	""	"$44,350.00"
""	"OHIOANS FOR KIDNEY DIALYSIS PATIENT PROTECTION"	""	"OUT OF STATE CONTRIBUTION"	"$27,085.71"
""	"OHIOANS FOR KIDNEY DIALYSIS PATIENT PROTECTION"	""	"OUT OF STATE CONTRIBUTION"	"$12,000.00"
""	"PACIFIC PRINTING"	"PETITION CIRCULATING"	""	"$11,846.25"
""	"BLUE SKY CONSULTING GROUP"	"CAMPAIGN CONSULTANTS"	""	"$10,078.75"
""	"SCN STRATEGIES, INC."	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
""	"SCN STRATEGIES, INC."	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
""	"SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
